@relation aa_train
@attribute asnidone {"Chinese (China/Hong Kong/Macau)","Indian (Asian Indian/India)","Korean (North or South Korea)","Taiwanese (Taiwan) or Chinese Taipei","Filipino (Philippines)","Pakistani (Pakistan)","[+oth1+]","Japanese (Japan)","Vietnamese (Vietnam)","Cambodian (Cambodia)","Thai (Thailand)","(VOL) None/ identify with both or all equally","Hmong","Nepali (Nepal)","Laotian (Laos)","Malaysian (Malaysia)","Bangladeshi (Bangladesh)","Indonesian (Indonesia)","Burmese (Burma/Myanmar)","Sri Lankan (Sri Lanka)","Singaporean (Singapore)"}
@attribute q10 {"Much better","Somewhat better","About the same","Somewhat worse","Much worse"}
@attribute q21 {"No does not describe","Yes describes"}
@attribute q24 {"Very different from typical American","Typical American"}
@attribute q80 {"Pretty well","Very well","nan","Just a little","Not at all"}
@attribute educ {"Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","College graduate (B.S. B.A. or other 4-year degree)","High school graduate (Grade 12 or GED certificate)","Some college associate degree no 4-year degree","High school incomplete (Grades 9-11)","None or grade 1-8","Technical trade or vocational school AFTER high school"}
@attribute q87 {"good","bad"}
@data
"Korean (North or South Korea)","About the same","No does not describe","Very different from typical American","Pretty well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Indian (Asian Indian/India)","Much better","Yes describes","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Nepali (Nepal)","Somewhat worse","Yes describes","Typical American","Just a little","High school incomplete (Grades 9-11)","good"
"Korean (North or South Korea)","Somewhat better","Yes describes","Very different from typical American","nan","Some college associate degree no 4-year degree","bad"
"Indian (Asian Indian/India)","About the same","No does not describe","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Indian (Asian Indian/India)","Somewhat better","No does not describe","Very different from typical American","Very well","High school graduate (Grade 12 or GED certificate)","bad"
"Indian (Asian Indian/India)","About the same","Yes describes","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Indian (Asian Indian/India)","About the same","No does not describe","Very different from typical American","Pretty well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Japanese (Japan)","About the same","No does not describe","Typical American","nan","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Vietnamese (Vietnam)","Somewhat better","Yes describes","Very different from typical American","Pretty well","College graduate (B.S. B.A. or other 4-year degree)","bad"
"Japanese (Japan)","Somewhat better","No does not describe","Very different from typical American","nan","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Chinese (China/Hong Kong/Macau)","Much better","Yes describes","Typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Filipino (Philippines)","Much better","Yes describes","Typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Thai (Thailand)","Somewhat worse","Yes describes","Very different from typical American","Pretty well","Some college associate degree no 4-year degree","bad"
"Vietnamese (Vietnam)","Somewhat better","Yes describes","Typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","bad"
"Japanese (Japan)","Much better","Yes describes","Typical American","nan","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Filipino (Philippines)","Much better","No does not describe","Very different from typical American","nan","Some college associate degree no 4-year degree","bad"
"Indian (Asian Indian/India)","Somewhat better","Yes describes","Typical American","Pretty well","High school graduate (Grade 12 or GED certificate)","bad"
"Chinese (China/Hong Kong/Macau)","Somewhat better","Yes describes","Very different from typical American","Just a little","College graduate (B.S. B.A. or other 4-year degree)","good"
"[+oth1+]","Much better","Yes describes","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Indian (Asian Indian/India)","About the same","Yes describes","Typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","bad"
"Indian (Asian Indian/India)","Somewhat better","Yes describes","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Cambodian (Cambodia)","Much better","Yes describes","Very different from typical American","Just a little","High school incomplete (Grades 9-11)","bad"
"Filipino (Philippines)","Much better","Yes describes","Very different from typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Japanese (Japan)","Somewhat better","No does not describe","Typical American","nan","College graduate (B.S. B.A. or other 4-year degree)","good"
"Indonesian (Indonesia)","Much better","Yes describes","Very different from typical American","Very well","Technical trade or vocational school AFTER high school","good"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","nan","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Chinese (China/Hong Kong/Macau)","Much better","Yes describes","Very different from typical American","Pretty well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","bad"
"Chinese (China/Hong Kong/Macau)","Somewhat better","No does not describe","Very different from typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Cambodian (Cambodia)","Much better","No does not describe","Very different from typical American","Very well","High school graduate (Grade 12 or GED certificate)","good"
"Chinese (China/Hong Kong/Macau)","Much better","No does not describe","Very different from typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","bad"
"Chinese (China/Hong Kong/Macau)","Much better","Yes describes","Typical American","nan","College graduate (B.S. B.A. or other 4-year degree)","good"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Taiwanese (Taiwan) or Chinese Taipei","Somewhat worse","Yes describes","Very different from typical American","Pretty well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","bad"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","Pretty well","Some college associate degree no 4-year degree","good"
"Indian (Asian Indian/India)","Somewhat better","Yes describes","Very different from typical American","Very well","College graduate (B.S. B.A. or other 4-year degree)","good"
"Chinese (China/Hong Kong/Macau)","Somewhat better","No does not describe","Typical American","Very well","Some college associate degree no 4-year degree","bad"
"Indian (Asian Indian/India)","Much better","Yes describes","Typical American","Very well","High school graduate (Grade 12 or GED certificate)","bad"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","Very well","Some college associate degree no 4-year degree","bad"
"Hmong","Somewhat better","Yes describes","Very different from typical American","nan","College graduate (B.S. B.A. or other 4-year degree)","bad"
"Indian (Asian Indian/India)","Much better","No does not describe","Very different from typical American","nan","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Chinese (China/Hong Kong/Macau)","About the same","No does not describe","Very different from typical American","Just a little","College graduate (B.S. B.A. or other 4-year degree)","good"
"Pakistani (Pakistan)","About the same","No does not describe","Very different from typical American","nan","Some college associate degree no 4-year degree","bad"
"Filipino (Philippines)","Much better","Yes describes","Typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Indian (Asian Indian/India)","Much better","Yes describes","Very different from typical American","Very well","Post-graduate training or professional schooling after college (e.g. toward a master's Degree or Ph.D...","good"
"Korean (North or South Korea)","Much better","Yes describes","Very different from typical American","nan","College graduate (B.S. B.A. or other 4-year degree)","good"
